date,hiring_index
2022-03-03,233.06
2022-03-04,232.83
2022-03-05,232.25
2022-03-06,231.99
2022-03-07,231.45
2022-03-08,231.8
2022-03-09,231.91
2022-03-10,232.07
2022-03-11,232.19
2022-03-12,232.6
2022-03-13,232.62
2022-03-14,232.69
2022-03-15,231.67
2022-03-16,230.48
2022-03-17,229.23
2022-03-18,227.78
2022-03-19,226.39
2022-03-20,225.27
2022-03-21,223.67
2022-03-22,223.11
2022-03-23,222.96
2022-03-24,223.1
2022-03-25,223.67
2022-03-26,224.23
2022-03-27,224.61
2022-03-28,225.02
2022-03-29,225.03
2022-03-30,225.36
2022-03-31,225.56
2022-04-01,225.62
2022-04-02,225.35
2022-04-03,225.16
2022-04-04,224.92
2022-04-05,225.53
2022-04-06,225.4
2022-04-07,225.2
2022-04-08,225.05
2022-04-09,224.77
2022-04-10,224.35
2022-04-11,223.97
2022-04-12,223.7
2022-04-13,223.5
2022-04-14,223.45
2022-04-15,223.21
2022-04-16,223.4
2022-04-17,223.85
2022-04-18,224.54
2022-04-19,224.89
2022-04-20,225.25
2022-04-21,225.51
2022-04-22,225.89
2022-04-23,226.27
2022-04-24,226.25
2022-04-25,226.48
2022-04-26,226.43
2022-04-27,224.2
2022-04-28,224.13
2022-04-29,223.81
2022-04-30,223.5
2022-05-01,223.47
2022-05-02,223.16
2022-05-03,223.18
2022-05-04,225.34
2022-05-05,225.42
2022-05-06,225.93
2022-05-07,226.21
2022-05-08,226.56
2022-05-09,227.34
2022-05-10,227.89
2022-05-11,228.19
2022-05-12,228.37
2022-05-13,228.26
2022-05-14,228.35
2022-05-15,228.38
2022-05-16,228.31
2022-05-17,227.6
2022-05-18,227.5
2022-05-19,227.46
2022-05-20,227.41
2022-05-21,226.98
2022-05-22,226.95
2022-05-23,226.74
2022-05-24,227.17
2022-05-25,227.05
2022-05-26,226.87
2022-05-27,226.63
2022-05-28,226.66
2022-05-29,226.23
2022-05-30,225.95
2022-05-31,225.4
2022-06-01,224.86
2022-06-02,224.04
2022-06-03,223.25
2022-06-04,222.51
2022-06-05,221.66
2022-06-06,220.79
2022-06-07,219.99
2022-06-08,219.31
2022-06-09,218.94
2022-06-10,218.5
2022-06-11,218.08
2022-06-12,217.75
2022-06-13,217.49
2022-06-14,217.4
2022-06-15,217.28
2022-06-16,216.97
2022-06-17,216.88
2022-06-18,216.66
2022-06-19,216.64
2022-06-20,216.6
2022-06-21,216.56
2022-06-22,216.46
2022-06-23,216.57
2022-06-24,216.38
2022-06-25,215.99
2022-06-26,215.61
2022-06-27,214.88
2022-06-28,213.94
2022-06-29,212.97
2022-06-30,212.02
2022-07-01,211.28
2022-07-02,210.84
2022-07-03,210.1
2022-07-04,209.29
2022-07-05,209.07
2022-07-06,208.39
2022-07-07,207.7
2022-07-08,206.98
2022-07-09,206.05
2022-07-10,205.27
2022-07-11,204.87
2022-07-12,204.05
2022-07-13,203.56
2022-07-14,203.0
2022-07-15,202.41
2022-07-16,201.98
2022-07-17,201.6
2022-07-18,200.86
2022-07-19,200.01
2022-07-20,199.63
2022-07-21,198.88
2022-07-22,198.41
2022-07-23,197.48
2022-07-24,196.85
2022-07-25,196.31
2022-07-26,195.88
2022-07-27,195.08
2022-07-28,194.79
2022-07-29,194.36
2022-07-30,194.53
2022-07-31,194.28
2022-08-01,194.18
2022-08-02,193.88
2022-08-03,193.67
2022-08-04,193.3
2022-08-05,192.93
2022-08-06,192.35
2022-08-07,191.79
2022-08-08,191.43
2022-08-09,191.22
2022-08-10,190.82
2022-08-11,190.39
2022-08-12,189.8
2022-08-13,189.03
2022-08-14,188.46
2022-08-15,187.83
2022-08-16,187.16
2022-08-17,186.5
2022-08-18,185.86
2022-08-19,185.33
2022-08-20,184.99
2022-08-21,184.55
2022-08-22,184.05
2022-08-23,183.25
2022-08-24,182.98
2022-08-25,182.83
2022-08-26,182.53
2022-08-27,182.31
2022-08-28,181.96
2022-08-29,181.51
2022-08-30,181.27
2022-08-31,180.82
2022-09-01,180.31
2022-09-02,179.86
2022-09-03,179.46
2022-09-04,179.12
2022-09-05,178.72
2022-09-06,178.4
2022-09-07,177.79
2022-09-08,177.2
2022-09-09,176.71
2022-09-10,176.15
2022-09-11,175.47
2022-09-12,174.98
2022-09-13,174.56
2022-09-14,174.2
2022-09-15,173.94
2022-09-16,173.65
2022-09-17,173.21
2022-09-18,172.92
2022-09-19,172.47
2022-09-20,171.84
2022-09-21,171.46
2022-09-22,170.98
2022-09-23,170.48
2022-09-24,170.13
2022-09-25,169.7
2022-09-26,169.45
2022-09-27,169.42
2022-09-28,169.09
2022-09-29,168.74
2022-09-30,168.39
2022-10-01,168.09
2022-10-02,167.75
2022-10-03,167.39
2022-10-04,166.7
2022-10-05,166.16
2022-10-06,165.52
2022-10-07,164.72
2022-10-08,163.95
2022-10-09,163.15
2022-10-10,162.52
2022-10-11,162.09
2022-10-12,161.57
2022-10-13,161.18
2022-10-14,161.02
2022-10-15,160.66
2022-10-16,160.49
2022-10-17,160.13
2022-10-18,159.82
2022-10-19,159.54
2022-10-20,159.16
2022-10-21,158.74
2022-10-22,157.79
2022-10-23,157.26
2022-10-24,156.85
2022-10-25,156.44
2022-10-26,155.97
2022-10-27,155.74
2022-10-28,155.38
2022-10-29,155.71
2022-10-30,155.49
2022-10-31,155.37
2022-11-01,155.07
2022-11-02,154.45
2022-11-03,153.58
2022-11-04,152.89
2022-11-05,152.02
2022-11-06,151.27
2022-11-07,150.44
2022-11-08,149.69
2022-11-09,149.21
2022-11-10,148.76
2022-11-11,148.18
2022-11-12,147.81
2022-11-13,147.3
2022-11-14,146.74
2022-11-15,146.27
2022-11-16,145.94
2022-11-17,145.67
2022-11-18,145.39
2022-11-19,144.91
2022-11-20,144.59
2022-11-21,144.25
2022-11-22,143.89
2022-11-23,143.62
2022-11-24,143.3
2022-11-25,143.16
2022-11-26,143.13
2022-11-27,142.94
2022-11-28,142.74
2022-11-29,142.65
2022-11-30,142.5
2022-12-01,142.35
2022-12-02,141.93
2022-12-03,141.48
2022-12-04,140.93
2022-12-05,140.53
2022-12-06,139.82
2022-12-07,138.94
2022-12-08,138.16
2022-12-09,137.57
2022-12-10,136.84
2022-12-11,136.34
2022-12-12,135.66
2022-12-13,135.2
2022-12-14,135.15
2022-12-15,134.86
2022-12-16,134.55
2022-12-17,134.32
2022-12-18,134.02
2022-12-19,133.76
2022-12-20,133.51
2022-12-21,133.03
2022-12-22,132.67
2022-12-23,132.24
2022-12-24,132.0
2022-12-25,131.71
2022-12-26,131.53
2022-12-27,131.38
2022-12-28,131.1
