ticker,period_end,available_at,revenue,revenue_growth,operating_margin,accession,prior_accession,revenue_tag,derivation,subtract_accession,operating_accession
WDAY,2015-04-30,2015-06-06,250957000,0.5710636859337537,-0.21280139625513533,0001327811-15-000014,0001193125-14-228909,Revenues,direct_quarter,,0001327811-15-000014
ADBE,2015-05-29,2015-06-25,1162158000,0.0879510357533364,0.16660127108362202,0000796343-15-000151,0000796343-14-000046,Revenues,direct_quarter,,0000796343-15-000151
HUBS,2015-06-30,2015-08-07,42941000,0.5846556941471694,-0.26366409724971474,0001564590-15-006500,0001193125-15-079000,Revenues,direct_quarter,,0001564590-15-006500
NOW,2015-06-30,2015-08-07,246716000,0.479494114190109,-0.21577441268503056,0001373715-15-000199,0001373715-14-000151,Revenues,direct_quarter,,0001373715-15-000199
CRM,2015-07-31,2015-08-26,1634684000,0.2397578857397249,0.012127114475947645,0001108524-15-000025,0001108524-14-000009,SalesRevenueServicesNet,direct_quarter,,0001108524-15-000025
VEEV,2015-07-31,2015-09-05,98107000,0.2966139775851131,0.22784306930188467,0001564590-15-007757,0001564590-14-004069,Revenues,direct_quarter,,0001564590-15-007757
WDAY,2015-07-31,2015-09-05,282696000,0.5135239318984901,-0.23926762317118036,0001327811-15-000021,0001193125-14-329149,Revenues,direct_quarter,,0001327811-15-000021
ADBE,2015-08-28,2015-09-24,1217768000,0.21121652979036387,0.20202452355456868,0000796343-15-000188,0000796343-14-000092,Revenues,direct_quarter,,0000796343-15-000188
HUBS,2015-09-30,2015-11-05,47711000,0.5669666316342616,-0.2785521158642661,0001564590-15-009381,0001193125-14-411203,Revenues,direct_quarter,,0001564590-15-009381
NOW,2015-09-30,2015-11-05,261150000,0.46128967276959587,-0.1073712425808922,0001373715-15-000260,0001373715-14-000207,Revenues,direct_quarter,,0001373715-15-000260
CRM,2015-10-31,2015-11-21,1711967000,0.23727880143532887,0.02537081614306818,0001108524-15-000034,0001108524-14-000023,SalesRevenueServicesNet,direct_quarter,,0001108524-15-000034
VEEV,2015-10-31,2015-12-11,106921000,0.27552639427378467,0.18798926310079406,0001564590-15-011387,0001564590-14-006187,Revenues,direct_quarter,,0001564590-15-011387
WDAY,2015-10-31,2015-12-05,305266000,0.4193797368298693,-0.2298782045822332,0001327811-15-000027,0001327811-14-000007,Revenues,direct_quarter,,0001327811-15-000027
ADBE,2015-11-27,2016-01-20,1306404000,0.21715263181431954,0.22231560834167685,0000796343-16-000224,0000796343-15-000022,Revenues,annual_minus_9m,0000796343-15-000188,0000796343-16-000224
HUBS,2015-12-31,2016-02-25,53126000,0.5553929031502518,-0.19668335654858263,0001564590-16-013204,0001193125-15-079000,Revenues,annual_minus_9m,0001564590-15-009381,0001564590-16-013204
NOW,2015-12-31,2016-02-26,285650000,0.4426476232803378,-0.10802730614388237,0001373715-16-000324,0001373715-15-000067,Revenues,annual_minus_9m,0001373715-15-000260,0001373715-16-000324
CRM,2016-01-31,2016-03-08,1809398000,0.2525183302321461,0.01136289528340365,0001108524-16-000053,0001108524-15-000008,Revenues,annual_minus_9m,0001108524-15-000034,0001108524-16-000053
VEEV,2016-01-31,2016-04-01,114270000,0.31326713556750785,0.13311455325107202,0001564590-16-015753,0001564590-15-002300,Revenues,annual_minus_9m,0001564590-15-011387,0001564590-16-015753
WDAY,2016-01-31,2016-03-23,323427000,0.42936629646488966,-0.22707133294375548,0001327811-16-000032,0001327811-15-000006,Revenues,annual_minus_9m,0001327811-15-000027,0001327811-16-000032
ADBE,2016-03-04,2016-03-31,1383335000,0.24716795545542158,0.22247539460795832,0000796343-16-000290,0000796343-15-000084,Revenues,direct_quarter,,0000796343-16-000290
HUBS,2016-03-31,2016-05-05,58960000,0.5448304773882513,-0.16724898236092267,0001564590-16-017682,0001193125-15-177373,Revenues,direct_quarter,,0001564590-16-017682
NOW,2016-03-31,2016-05-07,305879000,0.4430705214092958,-1.0597393086808835,0001373715-16-000364,0001373715-15-000122,Revenues,direct_quarter,,0001373715-16-000364
CRM,2016-04-30,2016-05-21,1916603000,0.26829331238704923,0.02712403142434818,0001108524-16-000066,0001108524-15-000014,SalesRevenueServicesNet,direct_quarter,,0001108524-16-000066
VEEV,2016-04-30,2016-06-09,119764000,0.3318505832768035,0.14867572893356934,0001564590-16-020379,0001564590-15-004860,Revenues,direct_quarter,,0001564590-16-020379
WDAY,2016-04-30,2016-06-02,345430000,0.37645094577955596,-0.21320962278898764,0001327811-16-000041,0001327811-15-000014,Revenues,direct_quarter,,0001327811-16-000041
ADBE,2016-06-03,2016-06-30,1398709000,0.2035446126946594,0.24611195037709774,0000796343-16-000352,0000796343-15-000151,Revenues,direct_quarter,,0000796343-16-000352
HUBS,2016-06-30,2016-08-04,64974000,0.513099368901516,-0.1697602117770185,0001564590-16-022377,0001564590-15-006500,Revenues,direct_quarter,,0001564590-16-022377
NOW,2016-06-30,2016-08-04,341312000,0.3834206131746625,-0.1414482936433527,0001373715-16-000394,0001373715-15-000199,Revenues,direct_quarter,,0001373715-16-000394
CRM,2016-07-31,2016-09-02,2036618000,0.24587871417350393,0.015982869639765532,0001108524-16-000085,0001108524-15-000025,SalesRevenueServicesNet,direct_quarter,,0001108524-16-000085
VEEV,2016-07-31,2016-09-09,131347000,0.33881374417727583,0.18136691359528578,0001564590-16-025058,0001564590-15-007757,Revenues,direct_quarter,,0001564590-16-025058
WDAY,2016-07-31,2016-09-03,377723000,0.3361455415004104,-0.23005482853837336,0001327811-16-000050,0001327811-15-000021,Revenues,direct_quarter,,0001327811-16-000050
ADBE,2016-09-02,2016-09-28,1463967000,0.2021723349603537,0.25227686143198585,0000796343-16-000395,0000796343-15-000188,Revenues,direct_quarter,,0000796343-16-000395
HUBS,2016-09-30,2016-11-03,70589000,0.47951206220787657,-0.14097097281446117,0001564590-16-027043,0001564590-15-009381,Revenues,direct_quarter,,0001564590-16-027043
NOW,2016-09-30,2016-11-05,357656000,0.3695424085774459,-0.07486243764958507,0001373715-16-000426,0001373715-15-000260,Revenues,direct_quarter,,0001373715-16-000426
CRM,2016-10-31,2016-11-22,2144775000,0.25281328436821515,0.0014155330978773998,0001108524-16-000128,0001108524-15-000034,SalesRevenueServicesNet,direct_quarter,,0001108524-16-000128
VEEV,2016-10-31,2016-12-09,142779000,0.33536910429195377,0.23679952934255039,0001564590-16-030006,0001564590-15-011387,Revenues,direct_quarter,,0001564590-16-030006
WDAY,2016-10-31,2016-12-03,409582000,0.3417216460398471,-0.2682832741673218,0001327811-16-000062,0001327811-15-000027,Revenues,direct_quarter,,0001327811-16-000062
ADBE,2016-12-02,2017-01-21,1608419000,0.23118040054990652,0.2936299558759254,0000796343-17-000031,0000796343-16-000224,Revenues,annual_minus_9m,0000796343-16-000395,0000796343-17-000031
HUBS,2016-12-31,2017-02-17,76444000,0.438918796822648,-0.18078593480194652,0001564590-17-001694,0001564590-16-013204,Revenues,annual_minus_9m,0001564590-16-027043,0001564590-17-001694
NOW,2016-12-31,2017-03-01,385666000,0.3501347803255732,-0.06120062437445873,0001373715-17-000026,0001373715-16-000324,Revenues,annual_minus_9m,0001373715-16-000426,0001373715-17-000026
CRM,2017-01-31,2017-03-07,2293988000,0.26781835726578684,-0.010176600749437225,0001108524-17-000006,0001108524-16-000053,Revenues,annual_minus_9m,0001108524-16-000128,0001108524-17-000006
VEEV,2017-01-31,2017-03-31,150153000,0.31401942767130486,0.21664568806484052,0001564590-17-005637,0001564590-16-015753,Revenues,annual_minus_9m,0001564590-16-030006,0001564590-17-005637
WDAY,2017-01-31,2017-03-21,436672000,0.35014083548992514,-0.2432832881430456,0001327811-17-000008,0001327811-16-000032,Revenues,annual_minus_9m,0001327811-16-000062,0001327811-17-000008
ADBE,2017-03-03,2017-03-30,1681646000,0.2156462462093418,0.2788928228652166,0000796343-17-000088,0000796343-16-000290,Revenues,direct_quarter,,0000796343-17-000088
