date,signal,rank_ic,n
2022-09-30,composite,0.02097902097902098,12
2022-09-30,momentum_z,-0.3076923076923077,12
2022-09-30,low_volatility_z,0.6223776223776225,12
2022-09-30,profitability_z,0.7832167832167832,12
2022-09-30,growth_z,-0.6503496503496504,12
2022-10-31,composite,0.04895104895104895,12
2022-10-31,momentum_z,-0.02097902097902098,12
2022-10-31,low_volatility_z,0.5944055944055945,12
2022-10-31,profitability_z,0.7972027972027973,12
2022-10-31,growth_z,-0.6783216783216784,12
2022-11-30,composite,-0.43356643356643365,12
2022-11-30,momentum_z,-0.32867132867132864,12
2022-11-30,low_volatility_z,-0.46153846153846156,12
2022-11-30,profitability_z,-0.30069930069930073,12
2022-11-30,growth_z,0.006993006993006993,12
2022-12-31,composite,-0.18181818181818185,12
2022-12-31,momentum_z,0.034965034965034975,12
2022-12-31,low_volatility_z,0.15384615384615385,12
2022-12-31,profitability_z,0.09090909090909093,12
2022-12-31,growth_z,-0.25874125874125875,12
2023-01-31,composite,-0.44755244755244755,12
2023-01-31,momentum_z,-0.5174825174825175,12
2023-01-31,low_volatility_z,-0.32867132867132864,12
2023-01-31,profitability_z,-0.5944055944055945,12
2023-01-31,growth_z,0.5944055944055945,12
2023-02-28,composite,0.2027972027972028,12
2023-02-28,momentum_z,0.6853146853146854,12
2023-02-28,low_volatility_z,-0.3356643356643357,12
2023-02-28,profitability_z,0.4685314685314686,12
2023-02-28,growth_z,-0.6363636363636365,12
2023-03-31,composite,0.23076923076923078,12
2023-03-31,momentum_z,0.31468531468531474,12
2023-03-31,low_volatility_z,-0.1188811188811189,12
2023-03-31,profitability_z,0.2377622377622378,12
2023-03-31,growth_z,-0.35664335664335667,12
2023-04-30,composite,-0.3636363636363637,12
2023-04-30,momentum_z,-0.6713286713286714,12
2023-04-30,low_volatility_z,0.18881118881118883,12
2023-04-30,profitability_z,-0.41958041958041964,12
2023-04-30,growth_z,0.5594405594405596,12
2023-05-31,composite,-0.006993006993006993,12
2023-05-31,momentum_z,0.006993006993006993,12
2023-05-31,low_volatility_z,0.04195804195804196,12
2023-05-31,profitability_z,0.04895104895104895,12
2023-05-31,growth_z,-0.1958041958041958,12
2023-06-30,composite,-0.06293706293706294,12
2023-06-30,momentum_z,-0.14685314685314685,12
2023-06-30,low_volatility_z,-0.41958041958041964,12
2023-06-30,profitability_z,0.4265734265734266,12
2023-06-30,growth_z,0.006993006993006993,12
2023-07-31,composite,0.06993006993006995,12
2023-07-31,momentum_z,-0.04195804195804196,12
2023-07-31,low_volatility_z,0.3216783216783217,12
2023-07-31,profitability_z,0.4825174825174825,12
2023-07-31,growth_z,-0.8321678321678322,12
2023-08-31,composite,-0.6643356643356644,12
2023-08-31,momentum_z,-0.8671328671328673,12
2023-08-31,low_volatility_z,-0.22377622377622378,12
2023-08-31,profitability_z,-0.15384615384615385,12
2023-08-31,growth_z,0.4125874125874127,12
2023-09-30,composite,-0.1258741258741259,12
2023-09-30,momentum_z,0.034965034965034975,12
2023-09-30,low_volatility_z,-0.1258741258741259,12
2023-09-30,profitability_z,0.07692307692307693,12
2023-09-30,growth_z,-0.14685314685314685,12
2023-10-31,composite,-0.6643356643356644,12
2023-10-31,momentum_z,-0.5594405594405596,12
2023-10-31,low_volatility_z,-0.27272727272727276,12
2023-10-31,profitability_z,-0.46153846153846156,12
2023-10-31,growth_z,0.6573426573426573,12
2023-11-30,composite,-0.7132867132867133,12
2023-11-30,momentum_z,-0.4545454545454546,12
2023-11-30,low_volatility_z,-0.2797202797202798,12
2023-11-30,profitability_z,-0.2657342657342658,12
2023-11-30,growth_z,0.30069930069930073,12
2023-12-31,composite,0.44755244755244755,12
2023-12-31,momentum_z,0.2447552447552448,12
2023-12-31,low_volatility_z,0.4545454545454546,12
2023-12-31,profitability_z,0.5384615384615385,12
2023-12-31,growth_z,-0.3216783216783217,12
2024-01-31,composite,-0.18181818181818185,12
2024-01-31,momentum_z,0.3846153846153847,12
2024-01-31,low_volatility_z,-0.6713286713286714,12
2024-01-31,profitability_z,-0.31468531468531474,12
2024-01-31,growth_z,0.18881118881118883,12
2024-02-29,composite,0.3216783216783217,12
2024-02-29,momentum_z,-0.2937062937062937,12
2024-02-29,low_volatility_z,0.2517482517482518,12
2024-02-29,profitability_z,0.44755244755244755,12
2024-02-29,growth_z,-0.2937062937062937,12
2024-03-31,composite,0.055944055944055944,12
2024-03-31,momentum_z,0.2447552447552448,12
2024-03-31,low_volatility_z,-0.35664335664335667,12
2024-03-31,profitability_z,-0.4545454545454546,12
2024-03-31,growth_z,0.46153846153846156,12
2024-04-30,composite,0.7272727272727274,12
2024-04-30,momentum_z,0.27272727272727276,12
2024-04-30,low_volatility_z,0.1188811188811189,12
2024-04-30,profitability_z,0.21678321678321683,12
2024-04-30,growth_z,0.06993006993006995,12
2024-05-31,composite,0.3076923076923077,12
2024-05-31,momentum_z,0.4755244755244756,12
2024-05-31,low_volatility_z,-0.16083916083916086,12
2024-05-31,profitability_z,0.14685314685314685,12
2024-05-31,growth_z,-0.07692307692307693,12
2024-06-30,composite,-0.2517482517482518,12
2024-06-30,momentum_z,-0.49650349650349657,12
