date,ticker,momentum,low_volatility,profitability,growth,fundamental_available_at,fundamental_period,hiring_growth,hiring_acceleration,momentum_z,low_volatility_z,profitability_z,growth_z,composite
2024-12-31,VEEV,0.18351340664346982,-0.08684283450022089,0.17628700919141,0.1048392229389501,2023-09-02,2023-07-31,-0.013905152224824135,0.012736819566029345,0.3615299774563057,0.9272742312382778,1.2090079858762743,-1.3959053668699781,0.2754767069252199
2024-12-31,WDAY,-0.09443596426858714,-0.08443162854221997,0.0202919688420307,0.163412115395384,2023-08-25,2023-07-31,-0.013905152224824135,0.012736819566029345,-1.0102662635180957,1.0053218505289088,0.10166858909471775,-0.8626625837722555,-0.19148460191668115
2024-12-31,ZS,-0.06756635397030142,-0.11685707545111092,-0.0979151923271341,0.4305710575710795,2023-09-15,2023-07-31,-0.013905152224824135,0.012736819566029345,-0.8776535136396376,-0.04424794141531335,-0.7374314633887393,1.3944760857721004,-0.06621420816789747
2025-01-31,ADBE,-0.28019687981514574,-0.10808714584937275,0.3470347648261758,0.1030904579291676,2023-09-28,2023-09-01,-0.025962786672436122,-0.015260731877915545,-1.251714301936589,0.2902323052672354,1.7864565772169585,-1.476357507819612,-0.1628457318180018
2025-01-31,CRM,0.19604886838746793,-0.082560351643835,0.1721330275229357,0.1126706647952022,2023-12-01,2023-10-31,-0.025962786672436122,-0.015260731877915545,0.7444033145609859,1.0583073266511922,1.0880797729452922,-1.4294160837958125,0.3653435825904144
2025-01-31,CRWD,0.16977779029780993,-0.16548550421383465,0.0040241013518843,0.353138847476768,2023-11-30,2023-10-31,-0.025962786672436122,-0.015260731877915545,0.6342917556083594,-1.4368253492589282,-0.1018880571515003,1.1889265714384425,0.07112623015909333
2025-01-31,DDOG,0.1482641962895297,-0.10446696456084242,-0.0077255194179012,0.2542831813402424,2023-11-08,2023-09-30,-0.025962786672436122,-0.015260731877915545,0.5441205275056888,0.39915984227846407,-0.18505836256202599,0.11253465767070141,0.21768916622320708
2025-01-31,HUBS,0.14037646404459903,-0.1055825351780137,-0.0366635160171964,0.2558778082611419,2023-11-09,2023-09-30,-0.025962786672436122,-0.015260731877915545,0.5110601981531555,0.36559346810942467,-0.3898974856528109,0.1298977850483681,0.15416349141453434
2025-01-31,MDB,-0.418730640306078,-0.16886688757159016,-0.1044398967057638,0.2976940900003297,2023-12-08,2023-10-31,-0.025962786672436122,-0.015260731877915545,-1.5130045210674936,-1.538567701780891,-0.8696561427138008,0.5852152118282646,-0.8340032884334801
2025-01-31,NET,0.3621757893503501,-0.13601713813020055,-0.1168404334883776,0.322015938106887,2023-11-03,2023-09-30,-0.025962786672436122,-0.015260731877915545,1.440701128788253,-0.5501524780948965,-0.957433991179907,0.8500441452920238,0.1957897012013683
2025-01-31,NOW,0.38505356375154487,-0.0763581760642751,0.1009615384615384,0.2495903877662479,2023-10-27,2023-09-30,-0.025962786672436122,-0.015260731877915545,1.4838511787495896,1.1422850187242077,0.5842886636202921,0.06143708022832404,0.8179654853306033
2025-01-31,SNOW,-0.21074420290414597,-0.1759196873039522,-0.3549885381238482,0.3180181247621305,2023-12-02,2023-10-31,-0.025962786672436122,-0.015260731877915545,-0.9606130954309513,-1.6340628770753276,-1.7160187100060431,0.8065138740872788,-0.8760452021062608
2025-01-31,VEEV,0.013692668086141557,-0.0877783634124314,0.2084151791145246,0.1161471600485923,2023-12-08,2023-10-31,-0.025962786672436122,-0.015260731877915545,-0.019917260001238217,0.9013027114818902,1.3449048814273703,-1.3915621951392632,0.20868203444218986
2025-01-31,WDAY,-0.11351224005748928,-0.08481602990097903,0.0470901952376485,0.1667009567238633,2023-11-29,2023-10-31,-0.025962786672436122,-0.015260731877915545,-0.553078887183748,0.9904362844967735,0.2029575418254589,-0.8411061608198048,-0.050197805420330116
2025-01-31,ZS,-0.2344803960460915,-0.1173244453794803,-0.0927254314952798,0.3970068738960703,2023-12-07,2023-10-31,-0.025962786672436122,-0.015260731877915545,-1.0601000377460121,0.012291449200859483,-0.7867346877692836,1.4038726219810929,-0.10766766358333585
2025-02-28,ADBE,-0.21922968991771774,-0.10673286200117751,0.3470347648261758,0.1030904579291676,2023-09-28,2023-09-01,-0.023072429906542014,-0.005427902579042465,-1.2836243360578867,0.39541808381267407,1.7864565772169585,-1.476357507819612,-0.14452679571196655
2025-02-28,CRM,0.11264995120795862,-0.08136904399159607,0.1721330275229357,0.1126706647952022,2023-12-01,2023-10-31,-0.023072429906542014,-0.005427902579042465,0.3113067815728456,1.0847606376829448,1.0880797729452922,-1.4294160837958125,0.26368277710131754
2025-02-28,CRWD,0.22804261860125252,-0.1665977869735241,0.0040241013518843,0.353138847476768,2023-11-30,2023-10-31,-0.023072429906542014,-0.005427902579042465,0.8658552779727315,-1.2316019591516914,-0.1018880571515003,1.1889265714384425,0.1803229582769956
2025-02-28,DDOG,0.08557735756462037,-0.10459091777845679,-0.0077255194179012,0.2542831813402424,2023-11-08,2023-09-30,-0.023072429906542014,-0.005427902579042465,0.18120262125051614,0.4536322414832661,-0.18505836256202599,0.11253465767070141,0.1405777894606144
2025-02-28,HUBS,0.25972436187581627,-0.1091113552805486,-0.0366635160171964,0.2558778082611419,2023-11-09,2023-09-30,-0.023072429906542014,-0.005427902579042465,1.0181098665277888,0.3307749519724453,-0.3898974856528109,0.1298977850483681,0.2722212794739478
2025-02-28,MDB,-0.38933818418154653,-0.1789953115441701,-0.1044398967057638,0.2976940900003297,2023-12-08,2023-10-31,-0.023072429906542014,-0.005427902579042465,-1.651498962170843,-1.5685441831484945,-0.8696561427138008,0.5852152118282646,-0.8761210190512184
2025-02-28,NET,0.40450570946439,-0.15158047464110788,-0.1168404334883776,0.322015938106887,2023-11-03,2023-09-30,-0.023072429906542014,-0.005427902579042465,1.4912541762231863,-0.8234586570831816,-0.957433991179907,0.8500441452920238,0.14010141831303038
2025-02-28,NOW,0.3202737300135665,-0.07777999982001738,0.1009615384615384,0.2495903877662479,2023-10-27,2023-09-30,-0.023072429906542014,-0.005427902579042465,1.3090950895689535,1.1286553065933824,0.5842886636202921,0.06143708022832404,0.7708690350027381
2025-02-28,SNOW,-0.03595710811745201,-0.18377850766607956,-0.3549885381238482,0.3180181247621305,2023-12-02,2023-10-31,-0.023072429906542014,-0.005427902579042465,-0.40286183212629845,-1.627043549572439,-1.7160187100060431,0.8065138740872788,-0.7348525544043754
2025-02-28,VEEV,0.03436654777518111,-0.09043320570385421,0.2084151791145246,0.1161471600485923,2023-12-08,2023-10-31,-0.023072429906542014,-0.005427902579042465,-0.06490381003044164,0.8384131681867992,1.3449048814273703,-1.3915621951392632,0.1817130111111162
